prompt,output
"Your task is to create exactly one math word problem in Sinhala for a specific topic tailored to the Sri Lankan National curriculum, following a strict set of rules.

CONSTRAINTS:
**Cumulative Learning:** The curriculum's topics are ordered from simple to complex. A question for any given topic **may only** use concepts from that topic and all preceding topics. Must **NOT** use any concepts from topics that appear later in the list. This ensures questions build on prior knowledge.
**Grade Level:** The problem must be suitable for a Grade 3 student.
**Cultural Context:** The problem must feel authentic to a Sri Lankan child.

ORDERED GRADE 3 TOPIC LIST:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals
3. Number Concept : Arrange any three numbers up to 999
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying
10. Mathematical Operations : Use the names of days and months correctly
11. Mathematical Operations : Identify and use the relationships between days, weeks and months
12. Money : Engage in simple money transactions

QUALITY GUIDELINES:
**Problem Solvability & Logic:** 
    * The problem must be solvable with the provided information.
    * It must have a single, unambiguous answer.
    * It should require at least one calculation or reasoning step.
**Content & Context:**
    * Use **realistic numbers** and quantities. Avoid absurd scenarios.
    * Ensure the quantities make sense in a real-world context.
**Language & Style:**
    * The problem must be in Sinhala 
    * The language must be simple, clear, and direct.
    * Avoid tricky wording or unnecessary complexity.
    * Pronouns must have a clear antecedent.
    * Grammar and spelling must be correct.
    * All sentences must be complete.
    * Do not include any irrelevant or misleading information.
**Units:**
    * The numerical value and its unit must be **consistent and realistic**.
    * Include the correct units in both the question and the answer.
**Correct Answer:**
    * Please reason step by step, and put your final answer within \boxed{}.
    * The `answer` field in the JSON output must contain the **final answer** to the `question` field.

OUTPUT SPECIFICATION:

Provide a flat JSON object in the following format. Do not include any extra text, explanations, or nested objects outside of this format.


{
  """"question"""": """"<the word problem>"""",
  """"answer"""": """"<the final answer>""""
}

TOPIC FOR THIS QUESTION:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place

Now generate the Math Word Problem and output a flat JSON object.","{""question"": ""567 යන සංඛ්‍යාවේ 5න් නිරූපණය වන අගය කීයද?\n"", ""answer"": ""500""}"
"Your task is to create exactly one math word problem in Sinhala for a specific topic tailored to the Sri Lankan National curriculum, following a strict set of rules.

CONSTRAINTS:
**Cumulative Learning:** The curriculum's topics are ordered from simple to complex. A question for any given topic **may only** use concepts from that topic and all preceding topics. Must **NOT** use any concepts from topics that appear later in the list. This ensures questions build on prior knowledge.
**Grade Level:** The problem must be suitable for a Grade 3 student.
**Cultural Context:** The problem must feel authentic to a Sri Lankan child.

ORDERED GRADE 3 TOPIC LIST:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals
3. Number Concept : Arrange any three numbers up to 999
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying
10. Mathematical Operations : Use the names of days and months correctly
11. Mathematical Operations : Identify and use the relationships between days, weeks and months
12. Money : Engage in simple money transactions

QUALITY GUIDELINES:
**Problem Solvability & Logic:** 
    * The problem must be solvable with the provided information.
    * It must have a single, unambiguous answer.
    * It should require at least one calculation or reasoning step.
**Content & Context:**
    * Use **realistic numbers** and quantities. Avoid absurd scenarios.
    * Ensure the quantities make sense in a real-world context.
**Language & Style:**
    * The problem must be in Sinhala 
    * The language must be simple, clear, and direct.
    * Avoid tricky wording or unnecessary complexity.
    * Pronouns must have a clear antecedent.
    * Grammar and spelling must be correct.
    * All sentences must be complete.
    * Do not include any irrelevant or misleading information.
**Units:**
    * The numerical value and its unit must be **consistent and realistic**.
    * Include the correct units in both the question and the answer.
**Correct Answer:**
    * Please reason step by step, and put your final answer within \boxed{}.
    * The `answer` field in the JSON output must contain the **final answer** to the `question` field.

OUTPUT SPECIFICATION:

Provide a flat JSON object in the following format. Do not include any extra text, explanations, or nested objects outside of this format.


{
  """"question"""": """"<the word problem>"""",
  """"answer"""": """"<the final answer>""""
}

TOPIC FOR THIS QUESTION:
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals

Now generate the Math Word Problem and output a flat JSON object.","{""question"": ""166 හි සංඛ්‍යා නාමය ලියන්න."", ""answer"": "" එකසිය හැට හය ""}"
"Your task is to create exactly one math word problem in Sinhala for a specific topic tailored to the Sri Lankan National curriculum, following a strict set of rules.

CONSTRAINTS:
**Cumulative Learning:** The curriculum's topics are ordered from simple to complex. A question for any given topic **may only** use concepts from that topic and all preceding topics. Must **NOT** use any concepts from topics that appear later in the list. This ensures questions build on prior knowledge.
**Grade Level:** The problem must be suitable for a Grade 3 student.
**Cultural Context:** The problem must feel authentic to a Sri Lankan child.

ORDERED GRADE 3 TOPIC LIST:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals
3. Number Concept : Arrange any three numbers up to 999
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying
10. Mathematical Operations : Use the names of days and months correctly
11. Mathematical Operations : Identify and use the relationships between days, weeks and months
12. Money : Engage in simple money transactions

QUALITY GUIDELINES:
**Problem Solvability & Logic:** 
    * The problem must be solvable with the provided information.
    * It must have a single, unambiguous answer.
    * It should require at least one calculation or reasoning step.
**Content & Context:**
    * Use **realistic numbers** and quantities. Avoid absurd scenarios.
    * Ensure the quantities make sense in a real-world context.
**Language & Style:**
    * The problem must be in Sinhala 
    * The language must be simple, clear, and direct.
    * Avoid tricky wording or unnecessary complexity.
    * Pronouns must have a clear antecedent.
    * Grammar and spelling must be correct.
    * All sentences must be complete.
    * Do not include any irrelevant or misleading information.
**Units:**
    * The numerical value and its unit must be **consistent and realistic**.
    * Include the correct units in both the question and the answer.
**Correct Answer:**
    * Please reason step by step, and put your final answer within \boxed{}.
    * The `answer` field in the JSON output must contain the **final answer** to the `question` field.

OUTPUT SPECIFICATION:

Provide a flat JSON object in the following format. Do not include any extra text, explanations, or nested objects outside of this format.


{
  """"question"""": """"<the word problem>"""",
  """"answer"""": """"<the final answer>""""
}

TOPIC FOR THIS QUESTION:
3. Number Concept : Arrange any three numbers up to 999

Now generate the Math Word Problem and output a flat JSON object.","{""question"": ""ක්‍රීඩා උළෙලකදී, නෙළුම් නිවාසය ලකුණු 175ක්, මානෙල් නිවාසය ලකුණු 736ක් සහ ඕලු නිවාසය ලකුණු 763ක් ලබා ගන්නා ලදී.  නිවාස වලට ලැබුණු ලකුණු විශාලත ම සංඛ්‍යාවේ  සිට කුඩා ම සංඛ්‍යාව තෙක් අනුපිලිවෙලට ලියන්න."", ""answer"": ""763, 736, 175""}"
"Your task is to create exactly one math word problem in Sinhala for a specific topic tailored to the Sri Lankan National curriculum, following a strict set of rules.

CONSTRAINTS:
**Cumulative Learning:** The curriculum's topics are ordered from simple to complex. A question for any given topic **may only** use concepts from that topic and all preceding topics. Must **NOT** use any concepts from topics that appear later in the list. This ensures questions build on prior knowledge.
**Grade Level:** The problem must be suitable for a Grade 3 student.
**Cultural Context:** The problem must feel authentic to a Sri Lankan child.

ORDERED GRADE 3 TOPIC LIST:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals
3. Number Concept : Arrange any three numbers up to 999
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying
10. Mathematical Operations : Use the names of days and months correctly
11. Mathematical Operations : Identify and use the relationships between days, weeks and months
12. Money : Engage in simple money transactions

QUALITY GUIDELINES:
**Problem Solvability & Logic:** 
    * The problem must be solvable with the provided information.
    * It must have a single, unambiguous answer.
    * It should require at least one calculation or reasoning step.
**Content & Context:**
    * Use **realistic numbers** and quantities. Avoid absurd scenarios.
    * Ensure the quantities make sense in a real-world context.
**Language & Style:**
    * The problem must be in Sinhala 
    * The language must be simple, clear, and direct.
    * Avoid tricky wording or unnecessary complexity.
    * Pronouns must have a clear antecedent.
    * Grammar and spelling must be correct.
    * All sentences must be complete.
    * Do not include any irrelevant or misleading information.
**Units:**
    * The numerical value and its unit must be **consistent and realistic**.
    * Include the correct units in both the question and the answer.
**Correct Answer:**
    * Please reason step by step, and put your final answer within \boxed{}.
    * The `answer` field in the JSON output must contain the **final answer** to the `question` field.

OUTPUT SPECIFICATION:

Provide a flat JSON object in the following format. Do not include any extra text, explanations, or nested objects outside of this format.


{
  """"question"""": """"<the word problem>"""",
  """"answer"""": """"<the final answer>""""
}

TOPIC FOR THIS QUESTION:
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999

Now generate the Math Word Problem and output a flat JSON object.","{""question"": ""සිසුන් තිදෙනෙකු ලබාගත් විභාග ලකුණු ප්‍රමාණය 776, 676, 767 වේ. මේ අතරින් කුඩාම ලකුණු ප්‍රමාණය කුමක්ද?"", ""answer"": ""676""}"
"Your task is to create exactly one math word problem in Sinhala for a specific topic tailored to the Sri Lankan National curriculum, following a strict set of rules.

CONSTRAINTS:
**Cumulative Learning:** The curriculum's topics are ordered from simple to complex. A question for any given topic **may only** use concepts from that topic and all preceding topics. Must **NOT** use any concepts from topics that appear later in the list. This ensures questions build on prior knowledge.
**Grade Level:** The problem must be suitable for a Grade 3 student.
**Cultural Context:** The problem must feel authentic to a Sri Lankan child.

ORDERED GRADE 3 TOPIC LIST:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals
3. Number Concept : Arrange any three numbers up to 999
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying
10. Mathematical Operations : Use the names of days and months correctly
11. Mathematical Operations : Identify and use the relationships between days, weeks and months
12. Money : Engage in simple money transactions

QUALITY GUIDELINES:
**Problem Solvability & Logic:** 
    * The problem must be solvable with the provided information.
    * It must have a single, unambiguous answer.
    * It should require at least one calculation or reasoning step.
**Content & Context:**
    * Use **realistic numbers** and quantities. Avoid absurd scenarios.
    * Ensure the quantities make sense in a real-world context.
**Language & Style:**
    * The problem must be in Sinhala 
    * The language must be simple, clear, and direct.
    * Avoid tricky wording or unnecessary complexity.
    * Pronouns must have a clear antecedent.
    * Grammar and spelling must be correct.
    * All sentences must be complete.
    * Do not include any irrelevant or misleading information.
**Units:**
    * The numerical value and its unit must be **consistent and realistic**.
    * Include the correct units in both the question and the answer.
**Correct Answer:**
    * Please reason step by step, and put your final answer within \boxed{}.
    * The `answer` field in the JSON output must contain the **final answer** to the `question` field.

OUTPUT SPECIFICATION:

Provide a flat JSON object in the following format. Do not include any extra text, explanations, or nested objects outside of this format.


{
  """"question"""": """"<the word problem>"""",
  """"answer"""": """"<the final answer>""""
}

TOPIC FOR THIS QUESTION:
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10

Now generate the Math Word Problem and output a flat JSON object.","{""question"": ""1, 3, 5, ..., ... යන සංඛ්‍යා රටාවේ ඊළඟ සංඛ්‍යා දෙක ලියන්න."", ""answer"": ""7,9""}"
"Your task is to create exactly one math word problem in Sinhala for a specific topic tailored to the Sri Lankan National curriculum, following a strict set of rules.

CONSTRAINTS:
**Cumulative Learning:** The curriculum's topics are ordered from simple to complex. A question for any given topic **may only** use concepts from that topic and all preceding topics. Must **NOT** use any concepts from topics that appear later in the list. This ensures questions build on prior knowledge.
**Grade Level:** The problem must be suitable for a Grade 3 student.
**Cultural Context:** The problem must feel authentic to a Sri Lankan child.

ORDERED GRADE 3 TOPIC LIST:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals
3. Number Concept : Arrange any three numbers up to 999
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying
10. Mathematical Operations : Use the names of days and months correctly
11. Mathematical Operations : Identify and use the relationships between days, weeks and months
12. Money : Engage in simple money transactions

QUALITY GUIDELINES:
**Problem Solvability & Logic:** 
    * The problem must be solvable with the provided information.
    * It must have a single, unambiguous answer.
    * It should require at least one calculation or reasoning step.
**Content & Context:**
    * Use **realistic numbers** and quantities. Avoid absurd scenarios.
    * Ensure the quantities make sense in a real-world context.
**Language & Style:**
    * The problem must be in Sinhala 
    * The language must be simple, clear, and direct.
    * Avoid tricky wording or unnecessary complexity.
    * Pronouns must have a clear antecedent.
    * Grammar and spelling must be correct.
    * All sentences must be complete.
    * Do not include any irrelevant or misleading information.
**Units:**
    * The numerical value and its unit must be **consistent and realistic**.
    * Include the correct units in both the question and the answer.
**Correct Answer:**
    * Please reason step by step, and put your final answer within \boxed{}.
    * The `answer` field in the JSON output must contain the **final answer** to the `question` field.

OUTPUT SPECIFICATION:

Provide a flat JSON object in the following format. Do not include any extra text, explanations, or nested objects outside of this format.


{
  """"question"""": """"<the word problem>"""",
  """"answer"""": """"<the final answer>""""
}

TOPIC FOR THIS QUESTION:
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place

Now generate the Math Word Problem and output a flat JSON object.","{""question"": ""පළමු පේළියේ කොඩි 154ක් ඇත. දෙවන පේළියේ කොඩි 136ක් ඇත. පේළි දෙකෙහිම ඇති මුළු කොඩි ගණන කීයද?"", ""answer"": ""කොඩි 290""}"
"Your task is to create exactly one math word problem in Sinhala for a specific topic tailored to the Sri Lankan National curriculum, following a strict set of rules.

CONSTRAINTS:
**Cumulative Learning:** The curriculum's topics are ordered from simple to complex. A question for any given topic **may only** use concepts from that topic and all preceding topics. Must **NOT** use any concepts from topics that appear later in the list. This ensures questions build on prior knowledge.
**Grade Level:** The problem must be suitable for a Grade 3 student.
**Cultural Context:** The problem must feel authentic to a Sri Lankan child.

ORDERED GRADE 3 TOPIC LIST:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals
3. Number Concept : Arrange any three numbers up to 999
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying
10. Mathematical Operations : Use the names of days and months correctly
11. Mathematical Operations : Identify and use the relationships between days, weeks and months
12. Money : Engage in simple money transactions

QUALITY GUIDELINES:
**Problem Solvability & Logic:** 
    * The problem must be solvable with the provided information.
    * It must have a single, unambiguous answer.
    * It should require at least one calculation or reasoning step.
**Content & Context:**
    * Use **realistic numbers** and quantities. Avoid absurd scenarios.
    * Ensure the quantities make sense in a real-world context.
**Language & Style:**
    * The problem must be in Sinhala 
    * The language must be simple, clear, and direct.
    * Avoid tricky wording or unnecessary complexity.
    * Pronouns must have a clear antecedent.
    * Grammar and spelling must be correct.
    * All sentences must be complete.
    * Do not include any irrelevant or misleading information.
**Units:**
    * The numerical value and its unit must be **consistent and realistic**.
    * Include the correct units in both the question and the answer.
**Correct Answer:**
    * Please reason step by step, and put your final answer within \boxed{}.
    * The `answer` field in the JSON output must contain the **final answer** to the `question` field.

OUTPUT SPECIFICATION:

Provide a flat JSON object in the following format. Do not include any extra text, explanations, or nested objects outside of this format.


{
  """"question"""": """"<the word problem>"""",
  """"answer"""": """"<the final answer>""""
}

TOPIC FOR THIS QUESTION:
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing

Now generate the Math Word Problem and output a flat JSON object.","{""question"": ""පංතියක සිසුන් 99ක් සිටිති. ඉන් සිසුන් 25ක් නැටුම් ඉගෙන ගන්නවා නම්, නැටුම් ඉගෙන ගන්නේ නැති සිසුන් කී දෙනෙක් සිටීද?"", ""answer"": ""සිසුන් 74""}"
"Your task is to create exactly one math word problem in Sinhala for a specific topic tailored to the Sri Lankan National curriculum, following a strict set of rules.

CONSTRAINTS:
**Cumulative Learning:** The curriculum's topics are ordered from simple to complex. A question for any given topic **may only** use concepts from that topic and all preceding topics. Must **NOT** use any concepts from topics that appear later in the list. This ensures questions build on prior knowledge.
**Grade Level:** The problem must be suitable for a Grade 3 student.
**Cultural Context:** The problem must feel authentic to a Sri Lankan child.

ORDERED GRADE 3 TOPIC LIST:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals
3. Number Concept : Arrange any three numbers up to 999
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying
10. Mathematical Operations : Use the names of days and months correctly
11. Mathematical Operations : Identify and use the relationships between days, weeks and months
12. Money : Engage in simple money transactions

QUALITY GUIDELINES:
**Problem Solvability & Logic:** 
    * The problem must be solvable with the provided information.
    * It must have a single, unambiguous answer.
    * It should require at least one calculation or reasoning step.
**Content & Context:**
    * Use **realistic numbers** and quantities. Avoid absurd scenarios.
    * Ensure the quantities make sense in a real-world context.
**Language & Style:**
    * The problem must be in Sinhala 
    * The language must be simple, clear, and direct.
    * Avoid tricky wording or unnecessary complexity.
    * Pronouns must have a clear antecedent.
    * Grammar and spelling must be correct.
    * All sentences must be complete.
    * Do not include any irrelevant or misleading information.
**Units:**
    * The numerical value and its unit must be **consistent and realistic**.
    * Include the correct units in both the question and the answer.
**Correct Answer:**
    * Please reason step by step, and put your final answer within \boxed{}.
    * The `answer` field in the JSON output must contain the **final answer** to the `question` field.

OUTPUT SPECIFICATION:

Provide a flat JSON object in the following format. Do not include any extra text, explanations, or nested objects outside of this format.


{
  """"question"""": """"<the word problem>"""",
  """"answer"""": """"<the final answer>""""
}

TOPIC FOR THIS QUESTION:
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over

Now generate the Math Word Problem and output a flat JSON object.","{""question"": ""එක් ගසක කුරුල්ලන් 4ක් සිටී නම්, ගස් 5ක කුරුල්ලන් කී දෙනෙක් සිටීද?"", ""answer"": ""කුරුල්ලන් 20""}"
"Your task is to create exactly one math word problem in Sinhala for a specific topic tailored to the Sri Lankan National curriculum, following a strict set of rules.

CONSTRAINTS:
**Cumulative Learning:** The curriculum's topics are ordered from simple to complex. A question for any given topic **may only** use concepts from that topic and all preceding topics. Must **NOT** use any concepts from topics that appear later in the list. This ensures questions build on prior knowledge.
**Grade Level:** The problem must be suitable for a Grade 3 student.
**Cultural Context:** The problem must feel authentic to a Sri Lankan child.

ORDERED GRADE 3 TOPIC LIST:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals
3. Number Concept : Arrange any three numbers up to 999
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying
10. Mathematical Operations : Use the names of days and months correctly
11. Mathematical Operations : Identify and use the relationships between days, weeks and months
12. Money : Engage in simple money transactions

QUALITY GUIDELINES:
**Problem Solvability & Logic:** 
    * The problem must be solvable with the provided information.
    * It must have a single, unambiguous answer.
    * It should require at least one calculation or reasoning step.
**Content & Context:**
    * Use **realistic numbers** and quantities. Avoid absurd scenarios.
    * Ensure the quantities make sense in a real-world context.
**Language & Style:**
    * The problem must be in Sinhala 
    * The language must be simple, clear, and direct.
    * Avoid tricky wording or unnecessary complexity.
    * Pronouns must have a clear antecedent.
    * Grammar and spelling must be correct.
    * All sentences must be complete.
    * Do not include any irrelevant or misleading information.
**Units:**
    * The numerical value and its unit must be **consistent and realistic**.
    * Include the correct units in both the question and the answer.
**Correct Answer:**
    * Please reason step by step, and put your final answer within \boxed{}.
    * The `answer` field in the JSON output must contain the **final answer** to the `question` field.

OUTPUT SPECIFICATION:

Provide a flat JSON object in the following format. Do not include any extra text, explanations, or nested objects outside of this format.


{
  """"question"""": """"<the word problem>"""",
  """"answer"""": """"<the final answer>""""
}

TOPIC FOR THIS QUESTION:
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying

Now generate the Math Word Problem and output a flat JSON object.","{""question"": ""කේක් ගෙඩියක් කෑලි 8කට කපා ඇත. අනිල්ට සහ කමල්ට සමාන කෑලි ප්‍රමාණයක් ලැබේ. කමල්ට ලැබෙන කෑලි ගණන කීයද?"", ""answer"": ""කෑලි 4""}"
"Your task is to create exactly one math word problem in Sinhala for a specific topic tailored to the Sri Lankan National curriculum, following a strict set of rules.

CONSTRAINTS:
**Cumulative Learning:** The curriculum's topics are ordered from simple to complex. A question for any given topic **may only** use concepts from that topic and all preceding topics. Must **NOT** use any concepts from topics that appear later in the list. This ensures questions build on prior knowledge.
**Grade Level:** The problem must be suitable for a Grade 3 student.
**Cultural Context:** The problem must feel authentic to a Sri Lankan child.

ORDERED GRADE 3 TOPIC LIST:
1. Number Concept : Identify the place value of digits in numbers up to the hundreds place
2. Number Concept : Write the number names for numbers up to 1000 and convert number names back to numerals
3. Number Concept : Arrange any three numbers up to 999
4. Number Concept : Identify the greatest or smallest number from a set of three numbers, each up to 999
5. Number Concept : Construct number sequences with the common difference of 2, 5, and10
6. Mathematical Operations : Add two numbers that have up to three digits, with carry-over only from ones place to tens place
7. Mathematical Operations : Subtract one number from another, both not exceeding 99, without the need for borrowing
8. Mathematical Operations : Multiply a number up to two digits using 2 or 5, without carrying over
9. Mathematical Operations : Divide a number not exceeding 2 digits by 2, without carrying
10. Mathematical Operations : Use the names of days and months correctly
11. Mathematical Operations : Identify and use the relationships between days, weeks and months
12. Money : Engage in simple money transactions

QUALITY GUIDELINES:
**Problem Solvability & Logic:** 
    * The problem must be solvable with the provided information.
    * It must have a single, unambiguous answer.
    * It should require at least one calculation or reasoning step.
**Content & Context:**
    * Use **realistic numbers** and quantities. Avoid absurd scenarios.
    * Ensure the quantities make sense in a real-world context.
**Language & Style:**
    * The problem must be in Sinhala 
    * The language must be simple, clear, and direct.
    * Avoid tricky wording or unnecessary complexity.
    * Pronouns must have a clear antecedent.
    * Grammar and spelling must be correct.
    * All sentences must be complete.
    * Do not include any irrelevant or misleading information.
**Units:**
    * The numerical value and its unit must be **consistent and realistic**.
    * Include the correct units in both the question and the answer.
**Correct Answer:**
    * Please reason step by step, and put your final answer within \boxed{}.
    * The `answer` field in the JSON output must contain the **final answer** to the `question` field.

OUTPUT SPECIFICATION:

Provide a flat JSON object in the following format. Do not include any extra text, explanations, or nested objects outside of this format.


{
  """"question"""": """"<the word problem>"""",
  """"answer"""": """"<the final answer>""""
}

TOPIC FOR THIS QUESTION:
10. Mathematical Operations : Use the names of days and months correctly

Now generate the Math Word Problem and output a flat JSON object.","{""question"": ""සතියේ පළමු දිනය කුමක්ද?"", ""answer"": ""ඉරිදා""}"
